name,start,category,split,time,label
1S9eqzFk-IE,3,helicopter,val,,Y
1T9jjPQxRHE,0,helicopter,train,0,Y
1T9jjPQxRHE,0,helicopter,train,1,N
1T9jjPQxRHE,0,helicopter,train,2,N
1T9jjPQxRHE,0,helicopter,train,3,N
1T9jjPQxRHE,0,helicopter,train,4,N
2erACT9n-B4,5,helicopter,train,0,Y
2erACT9n-B4,5,helicopter,train,1,N
2erACT9n-B4,5,helicopter,train,2,N
2erACT9n-B4,5,helicopter,train,3,N
2erACT9n-B4,5,helicopter,train,4,N
2fIX-p9h_q0,2,helicopter,test,,Y
2G3-4D-Mxoo,5,helicopter,test,,Y
2ndwZG2uok0,5,helicopter,train,0,Y
2ndwZG2uok0,5,helicopter,train,1,N
2ndwZG2uok0,5,helicopter,train,2,N
2ndwZG2uok0,5,helicopter,train,3,N
2ndwZG2uok0,5,helicopter,train,4,N
2nF2Lql0_Aw,0,helicopter,train,0,Y
2nF2Lql0_Aw,0,helicopter,train,1,N
2nF2Lql0_Aw,0,helicopter,train,2,N
2nF2Lql0_Aw,0,helicopter,train,3,N
2nF2Lql0_Aw,0,helicopter,train,4,N
2t1liDKjf-g,0,helicopter,train,0,Y
2t1liDKjf-g,0,helicopter,train,1,N
2t1liDKjf-g,0,helicopter,train,2,N
2t1liDKjf-g,0,helicopter,train,3,N
2t1liDKjf-g,0,helicopter,train,4,N
2vUe3LakHAo,5,helicopter,test,,Y
2vXlGSNtcn0,5,helicopter,train,0,Y
2vXlGSNtcn0,5,helicopter,train,1,N
2vXlGSNtcn0,5,helicopter,train,2,N
2vXlGSNtcn0,5,helicopter,train,3,N
2vXlGSNtcn0,5,helicopter,train,4,N
3isOx39nAVs,3,helicopter,test,,Y
3Jlf2R6FBRA,0,helicopter,train,0,Y
3Jlf2R6FBRA,0,helicopter,train,1,N
3Jlf2R6FBRA,0,helicopter,train,2,N
3Jlf2R6FBRA,0,helicopter,train,3,N
3Jlf2R6FBRA,0,helicopter,train,4,N
3KkUbQHnExo,0,helicopter,train,0,Y
3KkUbQHnExo,0,helicopter,train,1,N
3KkUbQHnExo,0,helicopter,train,2,N
3KkUbQHnExo,0,helicopter,train,3,N
3KkUbQHnExo,0,helicopter,train,4,N
3Rgjs_ttdxs,5,helicopter,test,,Y
-3tQW7Zhl9U,5,helicopter,train,0,Y
-3tQW7Zhl9U,5,helicopter,train,1,N
-3tQW7Zhl9U,5,helicopter,train,2,N
-3tQW7Zhl9U,5,helicopter,train,3,N
-3tQW7Zhl9U,5,helicopter,train,4,N
3xeuotzBk9s,0,helicopter,train,0,Y
3xeuotzBk9s,0,helicopter,train,1,N
3xeuotzBk9s,0,helicopter,train,2,N
3xeuotzBk9s,0,helicopter,train,3,N
3xeuotzBk9s,0,helicopter,train,4,N
3ZEHgq1o8PI,0,helicopter,train,0,Y
3ZEHgq1o8PI,0,helicopter,train,1,N
3ZEHgq1o8PI,0,helicopter,train,2,N
3ZEHgq1o8PI,0,helicopter,train,3,N
3ZEHgq1o8PI,0,helicopter,train,4,N
4_KrEq3ucwI,0,helicopter,train,0,Y
4_KrEq3ucwI,0,helicopter,train,1,N
4_KrEq3ucwI,0,helicopter,train,2,N
4_KrEq3ucwI,0,helicopter,train,3,N
4_KrEq3ucwI,0,helicopter,train,4,N
4MJKHVXNtzY,0,helicopter,train,0,Y
4MJKHVXNtzY,0,helicopter,train,1,N
4MJKHVXNtzY,0,helicopter,train,2,N
4MJKHVXNtzY,0,helicopter,train,3,N
4MJKHVXNtzY,0,helicopter,train,4,N
4NLW2X3DuMU,0,helicopter,train,0,Y
4NLW2X3DuMU,0,helicopter,train,1,N
4NLW2X3DuMU,0,helicopter,train,2,N
4NLW2X3DuMU,0,helicopter,train,3,N
4NLW2X3DuMU,0,helicopter,train,4,N
4sfJsFE1Mmk,5,helicopter,test,,Y
5eI4R5Tg-Gs,5,helicopter,test,,Y
5GXbpFGSZ7I,0,helicopter,train,0,Y
5GXbpFGSZ7I,0,helicopter,train,1,N
5GXbpFGSZ7I,0,helicopter,train,2,N
5GXbpFGSZ7I,0,helicopter,train,3,N
5GXbpFGSZ7I,0,helicopter,train,4,N
5o-s547x2e8,5,helicopter,train,0,Y
5o-s547x2e8,5,helicopter,train,1,N
5o-s547x2e8,5,helicopter,train,2,N
5o-s547x2e8,5,helicopter,train,3,N
5o-s547x2e8,5,helicopter,train,4,N
5OGUvwQxWtw,0,helicopter,test,,Y
5XrPzlRLnBI,0,helicopter,train,0,Y
5XrPzlRLnBI,0,helicopter,train,1,N
5XrPzlRLnBI,0,helicopter,train,2,N
5XrPzlRLnBI,0,helicopter,train,3,N
5XrPzlRLnBI,0,helicopter,train,4,N
6BYlJtI3UVU,0,helicopter,train,0,Y
6BYlJtI3UVU,0,helicopter,train,1,N
6BYlJtI3UVU,0,helicopter,train,2,N
6BYlJtI3UVU,0,helicopter,train,3,N
6BYlJtI3UVU,0,helicopter,train,4,N
6G5H81qDvW4,0,helicopter,train,0,Y
6G5H81qDvW4,0,helicopter,train,1,N
6G5H81qDvW4,0,helicopter,train,2,N
6G5H81qDvW4,0,helicopter,train,3,N
6G5H81qDvW4,0,helicopter,train,4,N
6M_JfKJxNVA,0,helicopter,train,0,Y
6M_JfKJxNVA,0,helicopter,train,1,N
6M_JfKJxNVA,0,helicopter,train,2,N
6M_JfKJxNVA,0,helicopter,train,3,N
6M_JfKJxNVA,0,helicopter,train,4,N
6U1UM2ehgr0,0,helicopter,train,0,Y
6U1UM2ehgr0,0,helicopter,train,1,N
6U1UM2ehgr0,0,helicopter,train,2,N
6U1UM2ehgr0,0,helicopter,train,3,N
6U1UM2ehgr0,0,helicopter,train,4,N
6VQeiOghkdE,0,helicopter,train,0,Y
6VQeiOghkdE,0,helicopter,train,1,N
6VQeiOghkdE,0,helicopter,train,2,N
6VQeiOghkdE,0,helicopter,train,3,N
6VQeiOghkdE,0,helicopter,train,4,N
7-f-6bBTI-0,0,helicopter,train,0,Y
7-f-6bBTI-0,0,helicopter,train,1,N
7-f-6bBTI-0,0,helicopter,train,2,N
7-f-6bBTI-0,0,helicopter,train,3,N
7-f-6bBTI-0,0,helicopter,train,4,N
7-x-9e9iNj8,0,helicopter,train,0,Y
7-x-9e9iNj8,0,helicopter,train,1,N
7-x-9e9iNj8,0,helicopter,train,2,N
7-x-9e9iNj8,0,helicopter,train,3,N
7-x-9e9iNj8,0,helicopter,train,4,N
7AYPK7U3evs,2,helicopter,train,0,Y
7AYPK7U3evs,2,helicopter,train,1,N
7AYPK7U3evs,2,helicopter,train,2,N
7AYPK7U3evs,2,helicopter,train,3,N
7AYPK7U3evs,2,helicopter,train,4,N
7qXlcJBcBPw,5,helicopter,train,0,Y
7qXlcJBcBPw,5,helicopter,train,1,N
7qXlcJBcBPw,5,helicopter,train,2,N
7qXlcJBcBPw,5,helicopter,train,3,N
7qXlcJBcBPw,5,helicopter,train,4,N
7TWKYlE-RK0,2,helicopter,val,,Y
7vv6nSZIrlE,0,helicopter,val,,Y
7WWMhbf1Ssc,5,helicopter,train,0,Y
7WWMhbf1Ssc,5,helicopter,train,1,N
7WWMhbf1Ssc,5,helicopter,train,2,N
7WWMhbf1Ssc,5,helicopter,train,3,N
7WWMhbf1Ssc,5,helicopter,train,4,N
7Y_jJnov7M4,2,helicopter,train,0,Y
7Y_jJnov7M4,2,helicopter,train,1,N
7Y_jJnov7M4,2,helicopter,train,2,N
7Y_jJnov7M4,2,helicopter,train,3,N
7Y_jJnov7M4,2,helicopter,train,4,N
8jhwmCV3WCA,5,helicopter,train,0,Y
8jhwmCV3WCA,5,helicopter,train,1,N
8jhwmCV3WCA,5,helicopter,train,2,N
8jhwmCV3WCA,5,helicopter,train,3,N
8jhwmCV3WCA,5,helicopter,train,4,N
8Z7xA1HqkRg,0,helicopter,train,0,Y
8Z7xA1HqkRg,0,helicopter,train,1,N
8Z7xA1HqkRg,0,helicopter,train,2,N
8Z7xA1HqkRg,0,helicopter,train,3,N
8Z7xA1HqkRg,0,helicopter,train,4,N
9LO4gcg49aU,0,helicopter,train,0,Y
9LO4gcg49aU,0,helicopter,train,1,N
9LO4gcg49aU,0,helicopter,train,2,N
9LO4gcg49aU,0,helicopter,train,3,N
9LO4gcg49aU,0,helicopter,train,4,N
9mpnV8GpoKc,0,helicopter,train,0,Y
9mpnV8GpoKc,0,helicopter,train,1,N
9mpnV8GpoKc,0,helicopter,train,2,N
9mpnV8GpoKc,0,helicopter,train,3,N
9mpnV8GpoKc,0,helicopter,train,4,N
9nsLTLNvOSw,0,helicopter,train,0,Y
9nsLTLNvOSw,0,helicopter,train,1,N
9nsLTLNvOSw,0,helicopter,train,2,N
9nsLTLNvOSw,0,helicopter,train,3,N
9nsLTLNvOSw,0,helicopter,train,4,N
9Rqaxf1rSUA,0,helicopter,train,0,Y
9Rqaxf1rSUA,0,helicopter,train,1,N
9Rqaxf1rSUA,0,helicopter,train,2,N
9Rqaxf1rSUA,0,helicopter,train,3,N
9Rqaxf1rSUA,0,helicopter,train,4,N
9WZgxE98Yyg,0,helicopter,train,0,Y
9WZgxE98Yyg,0,helicopter,train,1,N
9WZgxE98Yyg,0,helicopter,train,2,N
9WZgxE98Yyg,0,helicopter,train,3,N
9WZgxE98Yyg,0,helicopter,train,4,N
19TjZrYIMWk,2,helicopter,train,0,Y
19TjZrYIMWk,2,helicopter,train,1,N
19TjZrYIMWk,2,helicopter,train,2,N
19TjZrYIMWk,2,helicopter,train,3,N
19TjZrYIMWk,2,helicopter,train,4,N
27ZSldfo0fg,0,helicopter,val,,Y
49-i7nQSfa8,0,helicopter,val,,Y
52TvGcpOGWs,5,helicopter,val,,Y
66Sl9ixB_5U,0,helicopter,train,0,Y
66Sl9ixB_5U,0,helicopter,train,1,N
66Sl9ixB_5U,0,helicopter,train,2,N
66Sl9ixB_5U,0,helicopter,train,3,N
66Sl9ixB_5U,0,helicopter,train,4,N
70rljq60zaw,5,helicopter,test,,Y
75PEVQt1cQQ,0,helicopter,train,0,Y
75PEVQt1cQQ,0,helicopter,train,1,N
75PEVQt1cQQ,0,helicopter,train,2,N
75PEVQt1cQQ,0,helicopter,train,3,N
75PEVQt1cQQ,0,helicopter,train,4,N
75UL4bTnTRs,3,helicopter,train,0,Y
75UL4bTnTRs,3,helicopter,train,1,N
75UL4bTnTRs,3,helicopter,train,2,N
75UL4bTnTRs,3,helicopter,train,3,N
75UL4bTnTRs,3,helicopter,train,4,N
81V5zO9ntWg,3,helicopter,train,0,Y
81V5zO9ntWg,3,helicopter,train,1,N
81V5zO9ntWg,3,helicopter,train,2,N
81V5zO9ntWg,3,helicopter,train,3,N
81V5zO9ntWg,3,helicopter,train,4,N
86SnBJ00KWQ,5,helicopter,train,0,Y
86SnBJ00KWQ,5,helicopter,train,1,N
86SnBJ00KWQ,5,helicopter,train,2,N
86SnBJ00KWQ,5,helicopter,train,3,N
86SnBJ00KWQ,5,helicopter,train,4,N
89JAEnHCRbY,5,helicopter,train,0,Y
89JAEnHCRbY,5,helicopter,train,1,N
89JAEnHCRbY,5,helicopter,train,2,N
89JAEnHCRbY,5,helicopter,train,3,N
89JAEnHCRbY,5,helicopter,train,4,N
99c5p4GvVcg,0,helicopter,val,,Y
A5o4-vMEWMM,3,helicopter,val,,Y
AcJXSEfGGcI,0,helicopter,train,0,Y
AcJXSEfGGcI,0,helicopter,train,1,N
AcJXSEfGGcI,0,helicopter,train,2,N
AcJXSEfGGcI,0,helicopter,train,3,N
AcJXSEfGGcI,0,helicopter,train,4,N
AFaBECQSQjo,0,helicopter,train,0,Y
AFaBECQSQjo,0,helicopter,train,1,N
AFaBECQSQjo,0,helicopter,train,2,N
AFaBECQSQjo,0,helicopter,train,3,N
AFaBECQSQjo,0,helicopter,train,4,N
AGoOj13x-Ds,3,helicopter,train,0,Y
AGoOj13x-Ds,3,helicopter,train,1,N
AGoOj13x-Ds,3,helicopter,train,2,N
AGoOj13x-Ds,3,helicopter,train,3,N
AGoOj13x-Ds,3,helicopter,train,4,N
ApqTL3dFTdM,5,helicopter,train,0,Y
ApqTL3dFTdM,5,helicopter,train,1,N
ApqTL3dFTdM,5,helicopter,train,2,N
ApqTL3dFTdM,5,helicopter,train,3,N
ApqTL3dFTdM,5,helicopter,train,4,N
AQh9Zek1q8k,0,helicopter,val,,Y
AuaOKTqBvj8,5,helicopter,val,,Y
Awxe89fXai8,2,helicopter,val,,Y
AXEPdMUvXLo,0,helicopter,train,0,Y
AXEPdMUvXLo,0,helicopter,train,1,N
AXEPdMUvXLo,0,helicopter,train,2,N
AXEPdMUvXLo,0,helicopter,train,3,N
AXEPdMUvXLo,0,helicopter,train,4,N
BDduRe11_wo,5,helicopter,train,0,Y
BDduRe11_wo,5,helicopter,train,1,N
BDduRe11_wo,5,helicopter,train,2,N
BDduRe11_wo,5,helicopter,train,3,N
BDduRe11_wo,5,helicopter,train,4,N
BDYpXqMsg5k,0,helicopter,train,0,Y
BDYpXqMsg5k,0,helicopter,train,1,N
BDYpXqMsg5k,0,helicopter,train,2,N
BDYpXqMsg5k,0,helicopter,train,3,N
BDYpXqMsg5k,0,helicopter,train,4,N
Bfjr2BD94RY,0,helicopter,train,0,Y
Bfjr2BD94RY,0,helicopter,train,1,N
Bfjr2BD94RY,0,helicopter,train,2,N
Bfjr2BD94RY,0,helicopter,train,3,N
Bfjr2BD94RY,0,helicopter,train,4,N
Bgh_mgO2VZU,5,helicopter,train,0,Y
Bgh_mgO2VZU,5,helicopter,train,1,N
Bgh_mgO2VZU,5,helicopter,train,2,N
Bgh_mgO2VZU,5,helicopter,train,3,N
Bgh_mgO2VZU,5,helicopter,train,4,N
BGkb9XuspoY,0,helicopter,train,0,Y
BGkb9XuspoY,0,helicopter,train,1,N
BGkb9XuspoY,0,helicopter,train,2,N
BGkb9XuspoY,0,helicopter,train,3,N
BGkb9XuspoY,0,helicopter,train,4,N
BIAkLC-gy2Y,3,helicopter,train,0,Y
BIAkLC-gy2Y,3,helicopter,train,1,N
BIAkLC-gy2Y,3,helicopter,train,2,N
BIAkLC-gy2Y,3,helicopter,train,3,N
BIAkLC-gy2Y,3,helicopter,train,4,N
BNrmXcZQ-p4,5,helicopter,train,0,Y
BNrmXcZQ-p4,5,helicopter,train,1,N
BNrmXcZQ-p4,5,helicopter,train,2,N
BNrmXcZQ-p4,5,helicopter,train,3,N
BNrmXcZQ-p4,5,helicopter,train,4,N
BOB65Nd0pXo,0,helicopter,train,0,Y
BOB65Nd0pXo,0,helicopter,train,1,N
BOB65Nd0pXo,0,helicopter,train,2,N
BOB65Nd0pXo,0,helicopter,train,3,N
BOB65Nd0pXo,0,helicopter,train,4,N
C_jegfW0R8U,3,helicopter,val,,Y
CAVFaqrHCWA,0,helicopter,val,,Y
CCstODfDFKY,0,helicopter,val,,Y
CgGGijaRZ30,0,helicopter,train,0,Y
CgGGijaRZ30,0,helicopter,train,1,N
CgGGijaRZ30,0,helicopter,train,2,N
CgGGijaRZ30,0,helicopter,train,3,N
CgGGijaRZ30,0,helicopter,train,4,N
ChcnXv03Itg,0,helicopter,train,0,Y
ChcnXv03Itg,0,helicopter,train,1,N
ChcnXv03Itg,0,helicopter,train,2,N
ChcnXv03Itg,0,helicopter,train,3,N
ChcnXv03Itg,0,helicopter,train,4,N
CLm9FYDRxsA,0,helicopter,train,0,Y
CLm9FYDRxsA,0,helicopter,train,1,N
CLm9FYDRxsA,0,helicopter,train,2,N
CLm9FYDRxsA,0,helicopter,train,3,N
CLm9FYDRxsA,0,helicopter,train,4,N
CMx9nGyUVz0,5,helicopter,train,0,Y
CMx9nGyUVz0,5,helicopter,train,1,N
CMx9nGyUVz0,5,helicopter,train,2,N
CMx9nGyUVz0,5,helicopter,train,3,N
CMx9nGyUVz0,5,helicopter,train,4,N
CrGLI0l-WA8,5,helicopter,test,,Y
Cw-US2uaOKs,0,helicopter,train,0,Y
Cw-US2uaOKs,0,helicopter,train,1,N
Cw-US2uaOKs,0,helicopter,train,2,N
Cw-US2uaOKs,0,helicopter,train,3,N
Cw-US2uaOKs,0,helicopter,train,4,N
DhFVH7Dvz8A,5,helicopter,test,,Y
DjGcre72pxw,5,helicopter,train,0,Y
DjGcre72pxw,5,helicopter,train,1,N
DjGcre72pxw,5,helicopter,train,2,N
DjGcre72pxw,5,helicopter,train,3,N
DjGcre72pxw,5,helicopter,train,4,N
DP39sTllcPU,0,helicopter,train,0,Y
DP39sTllcPU,0,helicopter,train,1,N
DP39sTllcPU,0,helicopter,train,2,N
DP39sTllcPU,0,helicopter,train,3,N
DP39sTllcPU,0,helicopter,train,4,N
DpRyPTj1A6M,5,helicopter,train,0,Y
DpRyPTj1A6M,5,helicopter,train,1,N
DpRyPTj1A6M,5,helicopter,train,2,N
DpRyPTj1A6M,5,helicopter,train,3,N
DpRyPTj1A6M,5,helicopter,train,4,N
DQJwCqR08Tg,0,helicopter,train,0,Y
DQJwCqR08Tg,0,helicopter,train,1,N
DQJwCqR08Tg,0,helicopter,train,2,N
DQJwCqR08Tg,0,helicopter,train,3,N
DQJwCqR08Tg,0,helicopter,train,4,N
DrvYM8g3HWk,0,helicopter,train,0,Y
DrvYM8g3HWk,0,helicopter,train,1,N
DrvYM8g3HWk,0,helicopter,train,2,N
DrvYM8g3HWk,0,helicopter,train,3,N
DrvYM8g3HWk,0,helicopter,train,4,N
DxvGKv2L6-8,0,helicopter,train,0,Y
DxvGKv2L6-8,0,helicopter,train,1,N
DxvGKv2L6-8,0,helicopter,train,2,N
DxvGKv2L6-8,0,helicopter,train,3,N
DxvGKv2L6-8,0,helicopter,train,4,N
DZPQHyoP8ts,0,helicopter,train,0,Y
DZPQHyoP8ts,0,helicopter,train,1,N
DZPQHyoP8ts,0,helicopter,train,2,N
DZPQHyoP8ts,0,helicopter,train,3,N
DZPQHyoP8ts,0,helicopter,train,4,N
E509105txOk,2,helicopter,train,0,Y
E509105txOk,2,helicopter,train,1,N
E509105txOk,2,helicopter,train,2,N
E509105txOk,2,helicopter,train,3,N
E509105txOk,2,helicopter,train,4,N
ECV8j0bhOlc,0,helicopter,train,0,Y
ECV8j0bhOlc,0,helicopter,train,1,N
ECV8j0bhOlc,0,helicopter,train,2,N
ECV8j0bhOlc,0,helicopter,train,3,N
ECV8j0bhOlc,0,helicopter,train,4,N
EEBZz08i_vY,2,helicopter,train,0,Y
EEBZz08i_vY,2,helicopter,train,1,N
EEBZz08i_vY,2,helicopter,train,2,N
EEBZz08i_vY,2,helicopter,train,3,N
EEBZz08i_vY,2,helicopter,train,4,N
EGiR_Yw8rdo,2,helicopter,val,,Y
-en-yFsmIO8,0,helicopter,test,,Y
Eo_FyQjui1k,0,helicopter,train,0,Y
Eo_FyQjui1k,0,helicopter,train,1,N
Eo_FyQjui1k,0,helicopter,train,2,N
Eo_FyQjui1k,0,helicopter,train,3,N
Eo_FyQjui1k,0,helicopter,train,4,N
EvPBvMx_XTU,0,helicopter,test,,Y
EyBwCTiXWdA,5,helicopter,train,0,Y
EyBwCTiXWdA,5,helicopter,train,1,N
EyBwCTiXWdA,5,helicopter,train,2,N
EyBwCTiXWdA,5,helicopter,train,3,N
EyBwCTiXWdA,5,helicopter,train,4,N
EzE7FPYhzUI,5,helicopter,train,0,Y
EzE7FPYhzUI,5,helicopter,train,1,N
EzE7FPYhzUI,5,helicopter,train,2,N
EzE7FPYhzUI,5,helicopter,train,3,N
EzE7FPYhzUI,5,helicopter,train,4,N
EzOwXH1MIoI,5,helicopter,test,,Y
EzPcmdRIlSI,0,helicopter,val,,Y
F0IYjZN8ojA,0,helicopter,train,0,Y
F0IYjZN8ojA,0,helicopter,train,1,N
F0IYjZN8ojA,0,helicopter,train,2,N
F0IYjZN8ojA,0,helicopter,train,3,N
F0IYjZN8ojA,0,helicopter,train,4,N
F186zkBSFjE,0,helicopter,train,0,Y
F186zkBSFjE,0,helicopter,train,1,N
F186zkBSFjE,0,helicopter,train,2,N
F186zkBSFjE,0,helicopter,train,3,N
F186zkBSFjE,0,helicopter,train,4,N
FjK-wypKLxw,0,helicopter,train,0,Y
FjK-wypKLxw,0,helicopter,train,1,N
FjK-wypKLxw,0,helicopter,train,2,N
FjK-wypKLxw,0,helicopter,train,3,N
FjK-wypKLxw,0,helicopter,train,4,N
FUhyWzVd71Y,0,helicopter,test,,Y
FXXBXAJa_RU,0,helicopter,train,0,Y
FXXBXAJa_RU,0,helicopter,train,1,N
FXXBXAJa_RU,0,helicopter,train,2,N
FXXBXAJa_RU,0,helicopter,train,3,N
FXXBXAJa_RU,0,helicopter,train,4,N
Fygm03Gw19Y,0,helicopter,val,,Y
G6SoJ8JPG5M,2,helicopter,train,0,Y
G6SoJ8JPG5M,2,helicopter,train,1,N
G6SoJ8JPG5M,2,helicopter,train,2,N
G6SoJ8JPG5M,2,helicopter,train,3,N
G6SoJ8JPG5M,2,helicopter,train,4,N
GO_1gBjIR1c,5,helicopter,train,0,Y
GO_1gBjIR1c,5,helicopter,train,1,N
GO_1gBjIR1c,5,helicopter,train,2,N
GO_1gBjIR1c,5,helicopter,train,3,N
GO_1gBjIR1c,5,helicopter,train,4,N
Godz5tRIaRU,1,helicopter,train,0,Y
Godz5tRIaRU,1,helicopter,train,1,N
Godz5tRIaRU,1,helicopter,train,2,N
Godz5tRIaRU,1,helicopter,train,3,N
Godz5tRIaRU,1,helicopter,train,4,N
GSVRpO44F04,0,helicopter,train,0,Y
GSVRpO44F04,0,helicopter,train,1,N
GSVRpO44F04,0,helicopter,train,2,N
GSVRpO44F04,0,helicopter,train,3,N
GSVRpO44F04,0,helicopter,train,4,N
H__6P-rZ3Lo,5,helicopter,train,0,Y
H__6P-rZ3Lo,5,helicopter,train,1,N
H__6P-rZ3Lo,5,helicopter,train,2,N
H__6P-rZ3Lo,5,helicopter,train,3,N
H__6P-rZ3Lo,5,helicopter,train,4,N
-H1_pKntTx4,0,helicopter,train,0,Y
-H1_pKntTx4,0,helicopter,train,1,N
-H1_pKntTx4,0,helicopter,train,2,N
-H1_pKntTx4,0,helicopter,train,3,N
-H1_pKntTx4,0,helicopter,train,4,N
H3ZvrT-Ca3g,0,helicopter,val,,Y
HbA-Abyc6bU,0,helicopter,train,0,Y
HbA-Abyc6bU,0,helicopter,train,1,N
HbA-Abyc6bU,0,helicopter,train,2,N
HbA-Abyc6bU,0,helicopter,train,3,N
HbA-Abyc6bU,0,helicopter,train,4,N
HdASUfcAR9A,2,helicopter,train,0,Y
HdASUfcAR9A,2,helicopter,train,1,N
HdASUfcAR9A,2,helicopter,train,2,N
HdASUfcAR9A,2,helicopter,train,3,N
HdASUfcAR9A,2,helicopter,train,4,N
HKgby13GaZM,5,helicopter,val,,Y
I8a6GwMJpuM,5,helicopter,train,0,Y
I8a6GwMJpuM,5,helicopter,train,1,N
I8a6GwMJpuM,5,helicopter,train,2,N
I8a6GwMJpuM,5,helicopter,train,3,N
I8a6GwMJpuM,5,helicopter,train,4,N
IB2YDmEtKPo,0,helicopter,train,0,Y
IB2YDmEtKPo,0,helicopter,train,1,N
IB2YDmEtKPo,0,helicopter,train,2,N
IB2YDmEtKPo,0,helicopter,train,3,N
IB2YDmEtKPo,0,helicopter,train,4,N
IDIQUplab0k,0,helicopter,val,,Y
Ih0xy7tt2JY,3,helicopter,train,0,Y
Ih0xy7tt2JY,3,helicopter,train,1,N
Ih0xy7tt2JY,3,helicopter,train,2,N
Ih0xy7tt2JY,3,helicopter,train,3,N
Ih0xy7tt2JY,3,helicopter,train,4,N
IJ9WJQ0dj3g,3,helicopter,train,0,Y
IJ9WJQ0dj3g,3,helicopter,train,1,N
IJ9WJQ0dj3g,3,helicopter,train,2,N
IJ9WJQ0dj3g,3,helicopter,train,3,N
IJ9WJQ0dj3g,3,helicopter,train,4,N
IJI4VNsKSUg,3,helicopter,train,0,Y
IJI4VNsKSUg,3,helicopter,train,1,N
IJI4VNsKSUg,3,helicopter,train,2,N
IJI4VNsKSUg,3,helicopter,train,3,N
IJI4VNsKSUg,3,helicopter,train,4,N
Ijm0-BtXDp0,3,helicopter,train,0,Y
Ijm0-BtXDp0,3,helicopter,train,1,N
Ijm0-BtXDp0,3,helicopter,train,2,N
Ijm0-BtXDp0,3,helicopter,train,3,N
Ijm0-BtXDp0,3,helicopter,train,4,N
Ina9zrcoYPs,5,helicopter,train,0,Y
Ina9zrcoYPs,5,helicopter,train,1,N
Ina9zrcoYPs,5,helicopter,train,2,N
Ina9zrcoYPs,5,helicopter,train,3,N
Ina9zrcoYPs,5,helicopter,train,4,N
IQ2bHS59KnI,0,helicopter,train,0,Y
IQ2bHS59KnI,0,helicopter,train,1,N
IQ2bHS59KnI,0,helicopter,train,2,N
IQ2bHS59KnI,0,helicopter,train,3,N
IQ2bHS59KnI,0,helicopter,train,4,N
Isn4ltY2kPw,0,helicopter,train,0,Y
Isn4ltY2kPw,0,helicopter,train,1,N
Isn4ltY2kPw,0,helicopter,train,2,N
Isn4ltY2kPw,0,helicopter,train,3,N
Isn4ltY2kPw,0,helicopter,train,4,N
ISrb23zuWcY,0,helicopter,test,,Y
IXghBspzZK0,0,helicopter,train,0,Y
IXghBspzZK0,0,helicopter,train,1,N
IXghBspzZK0,0,helicopter,train,2,N
IXghBspzZK0,0,helicopter,train,3,N
IXghBspzZK0,0,helicopter,train,4,N
JaeFmM6saGs,1,helicopter,test,,Y
JC6VyIc02Kg,5,helicopter,train,0,Y
JC6VyIc02Kg,5,helicopter,train,1,N
JC6VyIc02Kg,5,helicopter,train,2,N
JC6VyIc02Kg,5,helicopter,train,3,N
JC6VyIc02Kg,5,helicopter,train,4,N
Jet-YGASUw8,5,helicopter,train,0,Y
